atDate,settleDate,susp,closing,bid,ask,low,high,vol,turn,VWAP,adjClose,adjBid,adjAsk,adjLow,adjHigh,adjVol,adjVWAP,totalRet
2007-08-15,2007-08-17,0,0.61,0.6,0.61,0.6,0.62,2332000,1419460,0.60868782,5.92066,5.8236,5.92066,5.8236,6.01772,240264,5.90793,-0.03175
2007-08-14,2007-08-16,0,0.63,0.62,0.63,0.62,0.63,960000,597800,0.62270833,6.11478,6.01772,6.11478,6.01772,6.11478,98908,6.04401,0.01613
2007-08-13,2007-08-15,0,0.62,0.62,0.63,0.61,0.63,1202000,743300,0.61838602,6.01772,6.01772,6.11478,5.92066,6.11478,123841,6.00206,0
2007-08-10,2007-08-14,0,0.62,0.62,0.63,0.61,0.65,860000,533580,0.62044186,6.01772,6.01772,6.11478,5.92066,6.3089,88605,6.02201,-0.04615
2007-08-09,2007-08-13,0,0.65,0.64,0.65,0.64,0.67,1606000,1053700,0.65610212,6.3089,6.21184,6.3089,6.21184,6.50302,165465,6.36813,0.03175
2007-08-08,2007-08-10,0,0.63,0.63,0.64,0.61,0.64,2060000,1285560,0.62405825,6.11478,6.11478,6.21184,5.92066,6.21184,212240,6.05711,-0.01562
2007-08-07,2007-08-09,0,0.64,0.63,0.64,0.61,0.67,1928000,1226520,0.63616183,6.21184,6.11478,6.21184,5.92066,6.50302,198640,6.17459,-0.04478
2007-08-06,2007-08-08,0,0.67,0.65,0.67,0.65,0.69,1758000,1158420,0.65894198,6.50302,6.3089,6.50302,6.3089,6.69714,181125,6.39569,-0.04286
2007-08-03,2007-08-07,0,0.7,0.68,0.7,0.69,0.71,1360000,951380,0.69954412,6.7942,6.60008,6.7942,6.69714,6.89126,140119,6.78978,-0.01408
2007-08-02,2007-08-06,0,0.71,0.7,0.71,0.7,0.74,2454000,1749420,0.71288509,6.89126,6.7942,6.89126,6.7942,7.18244,252833,6.91927,-0.0274
2007-08-01,2007-08-03,0,0.73,0.72,0.73,0.7,0.75,3876000,2770680,0.71482972,7.08538,6.98832,7.08538,6.7942,7.2795,399340,6.93814,-0.02667
